County, FIPS,Value_Index
"Troup County, Georgia",13285,0.9383
"Turner County, Georgia",13287,0.9548
"Twiggs County, Georgia",13289,0.5579
"Union County, Georgia",13291,0.6031
"Upson County, Georgia",13293,0.7078
"Walker County, Georgia",13295,0.6948
"Walton County, Georgia",13297,0.4173
"Ware County, Georgia",13299,0.8838
"Warren County, Georgia",13301,0.7734
"Washington County, Georgia",13303,0.9141
"Wayne County, Georgia",13305,0.8561
"Webster County, Georgia",13307,0.8752
"Wheeler County, Georgia",13309,0.5869
"White County, Georgia",13311,0.2893
"Whitfield County, Georgia",13313,0.916
"Wilcox County, Georgia",13315,0.7664
"Wilkes County, Georgia",13317,0.7489
"Wilkinson County, Georgia",13319,0.7801
"Worth County, Georgia",13321,0.7559
"Hawaii County, Hawaii",15001,0.6229
"Honolulu County, Hawaii",15003,0.5382
"Kalawao County, Hawaii",15005,0.0006
"Kauai County, Hawaii",15007,0.3622
"Maui County, Hawaii",15009,0.4796
"Ada County, Idaho",16001,0.1674
"Adams County, Idaho",16003,0.2145
"Bannock County, Idaho",16005,0.6015
"Bear Lake County, Idaho",16007,0.175
"Benewah County, Idaho",16009,0.6123
"Bingham County, Idaho",16011,0.5095
"Blaine County, Idaho",16013,0.5134
"Boise County, Idaho",16015,0.0987
"Bonner County, Idaho",16017,0.3431
"Bonneville County, Idaho",16019,0.4348
"Boundary County, Idaho",16021,0.3256
"Butte County, Idaho",16023,0.3024
"Camas County, Idaho",16025,0.3186
"Canyon County, Idaho",16027,0.6429
"Caribou County, Idaho",16029,0.1906
"Cassia County, Idaho",16031,0.5827
"Clark County, Idaho",16033,0.6327
"Clearwater County, Idaho",16035,0.6496
"Custer County, Idaho",16037,0.3978
"Elmore County, Idaho",16039,0.7934
"Franklin County, Idaho",16041,0.1225
"Fremont County, Idaho",16043,0.6375
"Gem County, Idaho",16045,0.7403
"Gooding County, Idaho",16047,0.8456
"Idaho County, Idaho",16049,0.5538
"Jefferson County, Idaho",16051,0.1082
"Jerome County, Idaho",16053,0.67
"Kootenai County, Idaho",16055,0.2562
"Latah County, Idaho",16057,0.2989
"Lemhi County, Idaho",16059,0.5089
"Lewis County, Idaho",16061,0.6397
"Lincoln County, Idaho",16063,0.7034
"Madison County, Idaho",16065,0.3797
"Minidoka County, Idaho",16067,0.6868
"Nez Perce County, Idaho",16069,0.542
"Oneida County, Idaho",16071,0.205
"Owyhee County, Idaho",16073,0.7597
"Payette County, Idaho",16075,0.6092
"Power County, Idaho",16077,0.6152
"Shoshone County, Idaho",16079,0.7543
"Teton County, Idaho",16081,0.1308
"Twin Falls County, Idaho",16083,0.5379
"Valley County, Idaho",16085,0.1143
"Washington County, Idaho",16087,0.9125
"Adams County, Illinois",17001,0.2829
"Alexander County, Illinois",17003,0.923
"Bond County, Illinois",17005,0.4335
"Boone County, Illinois",17007,0.4153
"Brown County, Illinois",17009,0.4554
"Bureau County, Illinois",17011,0.2721
"Calhoun County, Illinois",17013,0.0309
"Carroll County, Illinois",17015,0.147
"Cass County, Illinois",17017,0.5532
"Champaign County, Illinois",17019,0.5605
